Timestamp,Source MAC,Destination MAC,Source IP,Destination IP
2025-10-24 10:14:27,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,40.74.98.194
2025-10-24 10:14:28,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,54.211.86.145
2025-10-24 10:14:28,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:28,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:28,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:28,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:28,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:28,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:28,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:28,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:28,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:28,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:28,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
2025-10-24 10:14:28,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
2025-10-24 10:14:28,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,54.211.86.145,192.168.100.130
2025-10-24 10:14:28,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
2025-10-24 10:14:28,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
2025-10-24 10:14:28,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
2025-10-24 10:14:28,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:29,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:29,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:29,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
2025-10-24 10:14:29,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,3.224.130.254
2025-10-24 10:14:29,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
2025-10-24 10:14:29,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
2025-10-24 10:14:29,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:29,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
2025-10-24 10:14:29,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
2025-10-24 10:14:29,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:29,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,3.224.130.254,192.168.100.130
2025-10-24 10:14:29,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.207.202.187
2025-10-24 10:14:29,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,40.74.98.194
2025-10-24 10:14:29,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,40.74.98.194
2025-10-24 10:14:29,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,40.74.98.194
2025-10-24 10:14:29,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,40.74.98.194,192.168.100.130
2025-10-24 10:14:29,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,40.74.98.194,192.168.100.130
2025-10-24 10:14:29,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,40.74.98.194
2025-10-24 10:14:29,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,40.74.98.194,192.168.100.130
2025-10-24 10:14:29,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,40.74.98.194
2025-10-24 10:14:29,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.207.202.187,192.168.100.130
2025-10-24 10:14:30,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,57.144.183.134
2025-10-24 10:14:30,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,57.144.183.134,192.168.100.130
2025-10-24 10:14:30,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,57.144.183.134,192.168.100.130
2025-10-24 10:14:30,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,57.144.183.134
2025-10-24 10:14:31,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,3.229.2.107
2025-10-24 10:14:31,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:31,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:31,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:31,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
